스테이지,매치,일시,맵,순위,팀,킬,딜량,순위 점수,획득 점수
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,1,UKR,13,1663,10,23
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,3,DEN,11,2017,5,16
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,4,PHI,10,1780,4,14
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,5,NEU,5,990,3,8
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,8,ARG,6,902,1,7
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,2,TUR,0,250,6,6
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,6,GBR,3,1079,2,5
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,7,AUS,3,1217,1,4
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,9,IND,2,526,0,2
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,16,CAN,2,192,0,2
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,11,FIN,1,228,0,1
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,10,KAZ,0,267,0,0
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,12,JPN,0,267,0,0
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,13,NOR,0,173,0,0
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,14,MAS,0,52,0,0
Survival Stage,1,26. 6. 23. 오후 7:00,ERANGEL,15,TPE,0,232,0,0
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,1,UKR,11,1993,10,21
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,2,TUR,13,1970,6,19
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,3,NOR,6,1010,5,11
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,6,NEU,8,1037,2,10
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,10,ARG,9,782,0,9
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,4,MAS,1,643,4,5
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,14,PHI,4,448,0,4
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,5,KAZ,0,1096,3,3
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,8,FIN,2,469,1,3
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,16,AUS,3,502,0,3
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,7,TPE,1,437,1,2
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,12,IND,2,147,0,2
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,15,GBR,1,211,0,1
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,9,DEN,0,374,0,0
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,11,JPN,0,311,0,0
Survival Stage,2,26. 6. 23. 오후 7:39,MIRAMAR,13,CAN,0,193,0,0
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,1,DEN,13,2241,10,23
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,2,TUR,17,2790,6,23
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,3,NOR,2,1036,5,7
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,5,ARG,4,1468,3,7
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,6,PHI,4,1027,2,6
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,13,GBR,6,781,0,6
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,4,KAZ,1,555,4,5
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,14,NEU,4,720,0,4
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,9,AUS,3,474,0,3
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,7,TPE,1,295,1,2
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,8,FIN,1,681,1,2
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,10,CAN,2,197,0,2
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,11,MAS,2,278,0,2
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,15,UKR,1,373,0,1
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,16,JPN,1,208,0,1
Survival Stage,3,26. 6. 23. 오후 8:19,TAEGO,12,IND,0,565,0,0
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,1,JPN,9,996,10,19
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,2,DEN,12,1261,6,18
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,3,IND,5,931,5,10
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,7,UKR,9,1918,1,10
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,4,MAS,4,899,4,8
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,5,AUS,5,1129,3,8
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,6,NEU,2,349,2,4
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,8,TUR,3,627,1,4
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,10,ARG,4,1121,0,4
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,11,TPE,4,512,0,4
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,9,CAN,2,242,0,2
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,15,PHI,2,364,0,2
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,12,NOR,1,449,0,1
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,13,FIN,0,284,0,0
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,14,KAZ,0,104,0,0
Survival Stage,4,26. 6. 23. 오후 8:57,RONDO,16,GBR,0,0,0,0
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,1,UKR,11,1895,10,21
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,2,TPE,7,1071,6,13
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,4,ARG,6,1306,4,10
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,7,AUS,9,1329,1,10
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,3,TUR,4,1109,5,9
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,5,NOR,3,590,3,6
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,6,FIN,4,755,2,6
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,10,DEN,5,524,0,5
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,13,PHI,5,1153,0,5
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,14,NEU,4,425,0,4
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,8,KAZ,1,340,1,2
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,9,JPN,2,645,0,2
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,12,MAS,1,391,0,1
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,15,GBR,1,233,0,1
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,11,IND,0,333,0,0
Survival Stage,5,26. 6. 23. 오후 9:44,ERANGEL,16,CAN,0,0,0,0
Survival Stage,6,26. 6. 24. 오후 7:00,TAEGO,2,UKR,16,2230,6,22
Survival Stage,6,26. 6. 24. 오후 7:00,TAEGO,1,FIN,5,1726,10,15
